TA00020,TA00021,TA00023,TA00024,TA00025,TA00026,TA00027,TA00028,TA00029,TA00030,TA00054,TA00056,TA00057,TA00061,TA00064,TA00065,TA00066,TA00067,TA00068,TA00069,TA00070,TA00071,TA00072,TA00073,TA00074,TA00076,TA00077
2.18,4.4,0.08,20.28,2.92,2.8,10.75,1.21,24.43,0.04,5.68,45.4700000000001,0.02,0,0.04,4.95999999999999,9.73999999999999,0.12,0.83,1.83,0.4,8.2,0,0.06,13.97,7.75999999999999,40.17
48.66,0.8,0.06,2.1,18.21,1.27,40.14,0.75,0.41,3.26,15.4,43.56,91.9900000000001,0,0.15,1.15,12.42,3.98,42.3,67.5,40,62.8,0,0.29,10.18,14.31,1.13
0.08,10.4,0.04,6.05,64.15,0.8,4.11,0.95,19.8,10.11,2.5,70.27,61.75,0,27.59,0.65,15.92,0.58,0,0.02,0,0,0,5.42,34.81,0.36,0.04
20.52,23,0,6.12,6.85999999999999,11.21,14.35,5.03,37.9500000000001,14.98,31.87,17.89,9.93999999999999,0,34.83,48.97,9.97999999999999,0.22,0.08,0.33,0.2,0.4,0,0.02,13.21,0.26,2.08
15.91,30.2,0,19.01,0.96,12.77,38.26,5.19,10.03,1.14,31.34,21.2,8.73999999999999,0,0.76,1.5,0.18,1.31,0.06,0.14,0.2,0,0,3.36,9.85999999999999,0.82,0.18
3.44,5,0,0.23,0.02,1.23,7.9,16.25,13.77,0.84,0.34,2.14,0.02,0,0.97,1.5,0.24,0,0.12,0.16,0.2,0,0,0,5.77999999999999,1.08,6.00999999999999
0.04,2.6,0,0,0,15.76,0.12,43.24,0.06,0.06,0.42,0,0,0,0.22,28.45,0.04,0,0.04,0.08,0,0,0,0,0.08,0.76,8.58
0.04,2.2,0.06,0,1.51,1.52,0,0.05,25.69,0.14,0.1,0,0,0,0.83,0.2,2.1,0,1.3,0.08,4.2,1,0,0,0.52,0.46,0.08
0.02,0,0,6.45,15.07,0.1,15.72,0.32,0.1,0.24,0.46,1.53,1.46,0,15.29,9.1,6.96,4.88,8.9,6.81,13.8,10,0.02,0,18.17,0.960000000000001,0
0,19,0,0.2,37,4.40999999999999,4.1,7.13,14.02,2.3,12.48,26.79,79.45,0,4.48,51.2200000000001,27.87,0.36,0,0,0,0,0,0.02,27.91,1.64,3.53
1.06,13,0,0,44.5900000000001,0,0.02,15.75,14.04,0.36,1.07,0.53,34.22,0,0.26,2.17,57.77,0,0,0,0,0,0,0.91,0.18,2.84,0.08
